# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.6700000000e+03	9.1650254731e+00	3.1099819020e+03	2.2006538547e-04	9.5868893850e-01
6.6750000000e+03	7.2868304872e+00	2.9377535275e+03	4.0486142460e-04	8.8046001750e-01
6.6750000000e+03	7.7820222302e+00	2.9804981130e+03	2.2425748378e-04	8.9837129400e-01
6.6750000000e+03	8.2608309665e+00	3.0244887330e+03	1.8310546875e-04	1.1622695300e+00
6.6750000000e+03	8.6748309940e+00	3.0674129230e+03	2.0243071230e-04	9.7740770000e-01
6.6750000000e+03	9.1643617482e+00	3.1104839815e+03	2.5895023725e-04	9.3696060750e-01
6.6800000000e+03	7.2903273939e+00	2.9377531145e+03	4.1843594973e-04	9.0649461450e-01
6.6800000000e+03	7.7885366289e+00	2.9807871025e+03	3.0517578125e-04	1.0648915200e+00
6.6800000000e+03	8.2632627800e+00	3.0248464430e+03	1.4314012939e-04	1.0862061450e+00
6.6800000000e+03	8.6779807427e+00	3.0678804915e+03	2.4414062500e-04	1.0056946650e+00
6.6800000000e+03	9.1684475838e+00	3.1104836620e+03	2.9900997837e-04	9.4338099550e-01
6.6850000000e+03	7.2956659296e+00	2.9381310840e+03	3.6108885395e-04	9.9460486100e-01
6.6850000000e+03	7.7866184693e+00	2.9811444110e+03	2.7634842341e-04	9.3102229550e-01
6.6850000000e+03	8.2616839870e+00	3.0254938760e+03	1.2947511863e-04	1.1010998900e+00
6.6850000000e+03	8.6797367064e+00	3.0678804790e+03	2.1579186438e-04	1.0145365900e+00
6.6850000000e+03	9.1734701807e+00	3.1104912840e+03	9.4456711063e-04	9.2387768350e-01
6.6900000000e+03	7.2924772090e+00	2.9384000270e+03	4.5470167315e-04	9.1932426200e-01
6.6900000000e+03	7.7904339710e+00	2.9807656905e+03	4.0255450312e-04	9.0410753500e-01
6.6900000000e+03	8.2677269858e+00	3.0244689005e+03	2.0243071230e-04	1.0979722550e+00
6.6900000000e+03	8.6864460878e+00	3.0682949965e+03	4.3158372875e-04	1.0316774500e+00
6.6900000000e+03	9.1737355600e+00	3.1117474695e+03	3.5515958315e-03	1.0819585400e+00
6.6950000000e+03	7.2987479970e+00	2.9388673025e+03	3.9319148946e-04	1.0172589250e+00
6.6950000000e+03	7.7928263512e+00	2.9817909940e+03	3.7376247296e-04	9.7558805250e-01
6.6950000000e+03	8.2678972741e+00	3.0254354455e+03	1.8083564240e-02	1.0771818750e+00
6.6950000000e+03	8.6863244708e+00	3.0682031990e+03	1.8812298593e-04	1.0173793250e+00
6.6950000000e+03	9.1764810365e+00	3.1115958275e+03	3.2296768934e-04	9.5616180900e-01
6.7000000000e+03	7.2983632821e+00	2.9389570085e+03	5.2857995836e-04	9.4059406550e-01
6.7000000000e+03	7.7965164426e+00	2.9817905135e+03	4.5058664124e-04	9.7455649150e-01
6.7000000000e+03	8.2692935011e+00	3.0257802975e+03	1.7263349150e-04	1.1946933950e+00
6.7000000000e+03	8.6898711616e+00	3.0684718060e+03	2.7295751678e-04	1.0062409100e+00
6.7000000000e+03	9.1801799855e+00	3.1115957835e+03	2.9900997837e-04	9.5860912450e-01
6.7050000000e+03	7.3004426204e+00	2.9390464360e+03	4.0486142460e-04	9.5966275350e-01
6.7050000000e+03	7.7989094768e+00	2.9817904850e+03	3.3150575229e-04	9.8106186400e-01
6.7050000000e+03	8.2700610946e+00	3.0257611375e+03	1.5560972637e-04	9.9157139200e-01
6.7050000000e+03	8.6951897376e+00	3.0681826315e+03	2.9587889755e-04	9.2449885100e-01
6.7100000000e+03	7.3021108336e+00	2.9390456850e+03	4.8445153401e-04	1.0018698550e+00
6.7100000000e+03	7.8010175674e+00	2.9823475895e+03	3.1419769717e-04	9.6308865700e-01
6.7100000000e+03	8.2715936020e+00	3.0257594230e+03	2.1579186438e-04	1.0025888125e+00
6.7100000000e+03	8.6937455558e+00	3.0681817695e+03	2.6952395222e-04	9.1469283950e-01
6.7150000000e+03	7.3089759281e+00	2.9394032595e+03	6.0575662968e-04	9.1015596450e-01
6.7150000000e+03	7.8044207746e+00	2.9825266630e+03	2.4792597670e-04	9.4742622950e-01
6.7150000000e+03	8.2757313771e+00	3.0264967705e+03	1.8812298593e-04	1.1459342150e+00
6.7150000000e+03	8.6995517162e+00	3.0692085710e+03	1.7794652999e-04	1.0321396600e+00
6.7200000000e+03	7.3108860449e+00	2.9394029765e+03	4.0943627518e-04	9.5988920950e-01
6.7200000000e+03	7.8096796116e+00	2.9827056085e+03	3.0210861013e-04	9.1989019450e-01
6.7200000000e+03	8.2771561193e+00	3.0270544345e+03	1.7794652999e-04	1.1159249400e+00
6.7200000000e+03	8.7032167341e+00	3.0698547805e+03	2.4029565045e-04	9.8666161050e-01
6.7250000000e+03	7.3181666509e+00	2.9408409090e+03	5.6436895779e-04	9.7272583850e-01
6.7250000000e+03	7.8146979014e+00	2.9827940025e+03	3.2296768934e-04	9.3913318400e-01
6.7250000000e+03	8.2808067550e+00	3.0271446750e+03	2.5165439609e-04	1.0773394600e+00
6.7250000000e+03	8.7085640734e+00	3.0698555660e+03	2.4792597670e-04	1.0541201950e+00
6.7300000000e+03	7.3236638400e+00	2.9408402665e+03	4.4643368037e-04	9.5957477050e-01
6.7300000000e+03	7.8172439068e+00	2.9837844450e+03	2.5165439609e-04	1.0943033300e+00
6.7300000000e+03	8.2841627815e+00	3.0266743960e+03	2.5532837724e-04	1.1308360900e+00
6.7300000000e+03	8.7149536719e+00	3.0704470245e+03	2.4029565045e-04	9.9276009850e-01
6.7350000000e+03	7.3234507015e+00	2.9407856660e+03	5.1429136799e-04	8.9393064350e-01
6.7350000000e+03	7.8229124911e+00	2.9839639020e+03	3.2583856970e-04	1.0462222500e+00
6.7350000000e+03	8.2861076405e+00	3.0277902545e+03	1.8812298593e-04	1.1425689750e+00
6.7350000000e+03	8.7163692526e+00	3.0704463035e+03	2.0243071230e-04	9.8742875800e-01
6.7400000000e+03	7.3286396433e+00	2.9407855210e+03	3.3430331879e-04	9.4420429750e-01
6.7400000000e+03	7.8238137615e+00	2.9837647860e+03	2.5532837724e-04	9.4307774500e-01
6.7400000000e+03	8.2866937254e+00	3.0279700370e+03	2.6604607810e-04	1.0901416500e+00
6.7400000000e+03	8.7220499782e+00	3.0710038065e+03	1.9301011109e-04	1.0077164715e+00
6.7450000000e+03	7.3347717579e+00	2.9416663260e+03	4.0255450312e-04	9.7441848850e-01
6.7450000000e+03	7.8285746284e+00	2.9850238135e+03	2.5165439609e-04	1.0128089350e+00
6.7450000000e+03	8.2870715103e+00	3.0279679475e+03	2.4029565045e-04	1.0643208400e+00
6.7450000000e+03	8.7243969430e+00	3.0716693700e+03	2.0698028513e-04	1.1923779300e+00
