# etalon position (steps)	motor position (mm)	wavenumber (cm-1)	wavenumber error (cm-1)	power (watts)
6.1700000000e+03	8.7733118974e+00	3.0748155040e+03	2.2837264324e-04	1.0280139000e+00
6.1750000000e+03	7.3780166891e+00	2.9442184370e+03	6.5736875087e-04	9.2776859100e-01
6.1750000000e+03	7.8769102355e+00	2.9887262960e+03	3.7376247296e-04	8.2680247700e-01
6.1750000000e+03	8.3204917732e+00	3.0317230570e+03	3.2868437544e-04	8.7715115850e-01
6.1750000000e+03	8.7796127241e+00	3.0748153565e+03	1.3647875839e-04	1.0669790350e+00
6.1800000000e+03	7.3832488519e+00	2.9454786450e+03	3.4255896485e-04	9.5211071450e-01
6.1800000000e+03	7.8800663101e+00	2.9881672985e+03	4.1620427542e-04	8.8315426150e-01
6.1800000000e+03	8.3186659105e+00	3.0324266195e+03	1.9301011109e-04	1.0777747550e+00
6.1800000000e+03	8.7786502727e+00	3.0747933860e+03	2.5165439609e-04	8.3821613150e-01
6.1850000000e+03	7.3870954871e+00	2.9454777455e+03	2.6604607810e-04	1.0030470980e+00
6.1850000000e+03	7.8847039623e+00	2.9887249775e+03	2.5532837724e-04	9.4818475600e-01
6.1850000000e+03	8.3224328681e+00	3.0324612725e+03	2.0243071230e-04	9.7978023400e-01
6.1850000000e+03	8.7861756556e+00	3.0766854805e+03	3.0210861013e-04	1.2010105000e+00
6.1900000000e+03	7.3917844149e+00	2.9457455030e+03	4.5264883344e-04	9.2640219850e-01
6.1900000000e+03	7.8890395776e+00	2.9893363260e+03	2.7969822357e-04	9.9312854200e-01
6.1900000000e+03	8.3256232406e+00	3.0324601930e+03	2.6604607810e-04	9.6360426950e-01
6.1900000000e+03	8.7910795741e+00	3.0761421575e+03	2.1143198335e-04	9.7624451950e-01
6.1950000000e+03	7.4008322197e+00	2.9471845055e+03	3.5850037001e-04	9.8496709350e-01
6.1950000000e+03	7.8921809850e+00	2.9901618825e+03	3.5850037001e-04	9.7287157750e-01
6.1950000000e+03	8.3293609660e+00	3.0337537640e+03	1.8812298593e-04	1.0229568550e+00
6.1950000000e+03	8.7982842551e+00	3.0766438910e+03	2.9271432637e-04	9.4572825250e-01
6.2000000000e+03	7.4063298611e+00	2.9471840720e+03	2.8300837694e-04	9.7532565550e-01
